Institution Name,Full Time Enrollment,State,Ranking List,Rank,Rank Pct Rank,Undergraduate Admit Rate,Undergraduate Admit Rate Pct Rank,Average Monthly Search Volume,Average Monthly Search Volume Pct Rank,Credential Score,Student Life Grade,Student Life Score,Experience Score,15-Year NPV,15-Year NPV PCT Rank,30-Year NPV,30-Year NPV PCT Rank,Instructional Wages per Full-Time Student,Instructional Wages per Full-Time Student PCT Rank,Eduation Score,Average Undergraduate Tuition and Fees,Average Undergraduate Tuition & Fees Score,"Value
(C x E x E)",Value-to-Cost Ratio,Endowment per Full Time Student,Endowment per Full Time Student Pct Rank,Percentage of International Students,Percentage of International Students PCT Rank,Vulnerability Score,Prof G Categorization
Luther College,1977,IA,USN National College Ranking,100,0.55,0.63,0.54,14800,0.19,1.29,A,4.66,2.80,245000.00,0.25,707000.00,0.32,7473.00,0.29,0.87,42290.00,0.60,3.1078239,0.191521779,84645.00,0.37,0.10,0.78,1.15,Perish
Lycoming College,1135,PA,USN National College Ranking,117,0.50,0.66,0.48,14800,0.19,1.17,B+,4.00,2.40,258000.00,0.35,703000.00,0.31,6244.00,0.09,0.75,40315.00,0.55,2.1854976,0.153886608,182907.00,0.20,0.07,0.67,0.87,Struggle
Macalester College,2140,MN,USN National College Ranking,25,0.90,0.41,0.77,27100,0.41,2.08,A,4.66,2.80,234000.00,0.19,697000.00,0.29,10816.00,0.68,1.15,54344.00,0.89,6.693221376,0.277911534,360418.00,0.10,0.17,0.95,1.05,Perish
Marlboro College,140,VT,USN National College Ranking,136,0.40,0.59,0.61,5400,0.06,1.07,C+,3.00,1.80,134000.00,0.01,403000.00,0.01,18824.00,0.92,0.93,40840.00,0.56,1.7549784,0.131577328,268712.00,0.14,0.03,0.39,0.53,Struggle
Marquette University,10390,WI,USN National University Ranking,84,0.63,0.82,0.16,60500,0.7,1.48,A-,4.33,2.60,354000.00,0.81,963000.00,0.85,7422.00,0.28,1.93,41870.00,0.59,7.07966691,0.498497881,64370.00,0.48,0.01,0.07,0.55,Thrive
Mary Baldwin University,1371,VA,USN National University Ranking,272,0.04,1.00,0.00,14800,0.19,0.24,C,2.66,1.60,206000.00,0.08,568000.00,0.05,6646.00,0.16,0.3,31110.00,0.39,0.12264462,0.01605086,25070.00,0.74,0.00,0.00,0.74,Struggle
Maryville University of Saint Louis,3308,MO,USN National University Ranking,202,0.20,0.95,0.01,880,0.01,0.22,A,4.66,2.80,268000.00,0.41,728000.00,0.38,7756.00,0.34,1.12,28470.00,0.35,0.677616192,0.072744626,16531.00,0.84,0.04,0.50,1.33,Perish
Massachusetts College of Liberal Arts,1121,MA,USN National College Ranking,140,0.38,0.74,0.30,2400,0.02,0.7,C-,2.33,1.40,197000.00,0.07,546000.00,0.03,9094.00,0.52,0.62,15032.00,0.08,0.601208502,0.296893087,11434.00,0.90,0.02,0.26,1.15,Perish
Massachusetts Institute of Technology,11402,MA,USN National University Ranking,3,0.99,0.07,0.99,18100,0.26,2.24,A+,5.00,3.00,724000.00,1.00,1743000.00,1,39753.00,0.98,2.98,51832.00,0.80,19.92282,0.9582886,1438347.00,0.01,0.09,0.74,0.75,Thrive
Mercer University,7102,GA,USN National University Ranking,153,0.33,0.72,0.35,49500,0.63,1.31,B+,4.00,2.40,278000.00,0.48,748000.00,0.46,7931.00,0.38,1.31,36894.00,0.47,4.2702504,0.424014537,48716.00,0.56,0.01,0.07,0.63,Struggle
Meredith College,1666,NC,USN National College Ranking,148,0.34,0.63,0.54,14800,0.19,1.08,B,3.66,2.20,196000.00,0.06,581000.00,0.07,7534.00,0.31,0.45,37176.00,0.48,1.05344316,0.081624296,68147.00,0.46,0.06,0.64,1.10,Perish
Miami University-Oxford,17712,OH,USN National University Ranking,91,0.60,0.75,0.28,90500,0.82,1.71,A,4.66,2.80,270000.00,0.42,728000.00,0.38,6308.00,0.11,0.91,25138.00,0.30,4.331440176,0.536534148,30188.00,0.68,0.07,0.67,1.35,Survive
Michigan State University,43863,MI,USN National University Ranking,84,0.63,0.78,0.22,90500,0.82,1.66,A+,5.00,3.00,329000.00,0.75,851000.00,0.69,11087.00,0.70,2.14,27113.00,0.32,10.67646,1.228026225,75385.00,0.42,0.09,0.74,1.15,Survive
Michigan Technological University,6438,MI,USN National University Ranking,147,0.36,0.74,0.29,6600,0.07,0.72,A-,4.33,2.60,447000.00,0.95,1094000.00,0.92,6459.00,0.14,2,24686.00,0.29,3.680420328,0.485095601,17902.00,0.82,0.01,0.07,0.89,Thrive
Middlebury College,2551,VT,USN National College Ranking,7,0.97,0.17,0.92,49500,0.63,2.52,A,4.66,2.80,326000.00,0.73,893000.00,0.75,20248.00,0.94,2.42,54450.00,0.90,17.08270722,0.741726682,440668.00,0.07,0.01,0.07,0.14,Thrive
Millsaps College,845,MS,USN National College Ranking,124,0.46,0.59,0.60,12100,0.14,1.2,A-,4.33,2.60,266000.00,0.39,734000.00,0.41,9162.00,0.52,1.32,39910.00,0.53,4.2430536,0.29210062,120091.00,0.30,0.05,0.59,0.89,Struggle
Misericordia University,1957,PA,USN National University Ranking,192,0.22,0.83,0.13,18100,0.26,0.61,B-,3.33,2.00,279000.00,0.49,770000.00,0.51,7354.00,0.27,1.27,33240.00,0.43,1.558412028,0.176510593,26763.00,0.73,0.00,0.00,0.73,Struggle
Mississippi State University,18709,MS,USN National University Ranking,211,0.18,0.57,0.64,33100,0.47,1.29,A,4.66,2.80,240000.00,0.22,631000.00,0.12,5068.00,0.02,0.36,15950.00,0.10,1.48755588,0.744522462,27053.00,0.72,0.01,0.07,0.79,Thrive
Missouri University of Science and Technology,7117,MO,USN National University Ranking,179,0.25,0.84,0.10,5400,0.06,0.41,B,3.66,2.20,494000.00,0.97,1188000.00,0.95,8395.00,0.43,2.34,17951.00,0.15,2.107316736,0.527356541,26814.00,0.72,0.02,0.26,0.98,Survive
Monmouth College,905,IL,USN National College Ranking,124,0.46,0.69,0.41,14800,0.19,1.06,B,3.66,2.20,246000.00,0.26,650000.00,0.17,7068.00,0.22,0.65,37674.00,0.49,1.644248412,0.149260023,130558.00,0.29,0.02,0.26,0.54,Struggle
Montana State University,13085,MT,USN National University Ranking,246,0.10,0.82,0.15,60500,0.7,0.95,A-,4.33,2.60,252000.00,0.30,672000.00,0.23,5697.00,0.05,0.58,16135.00,0.10,1.430386056,0.519384915,12474.00,0.88,0.04,0.50,1.38,Survive
Montclair State University,16547,NJ,USN National University Ranking,166,0.28,0.71,0.37,74000,0.78,1.43,B+,4.00,2.40,295000.00,0.60,778000.00,0.55,6342.00,0.12,1.26,16684.00,0.12,4.3329744,1.326285399,2654.00,1.00,0.00,0.00,1.00,Survive
Moravian College,2001,PA,USN National College Ranking,136,0.40,0.73,0.32,18100,0.26,0.98,B-,3.33,2.00,272000.00,0.44,769000.00,0.51,7439.00,0.29,1.23,43636.00,0.63,2.500848648,0.166589971,58070.00,0.52,0.01,0.07,0.58,Struggle
Morehouse College,2146,GA,USN National College Ranking,154,0.31,0.58,0.62,49500,0.63,1.56,A-,4.33,2.60,154000.00,0.01,561000.00,0.05,6660.00,0.16,0.22,27576.00,0.33,0.88420332,0.133666413,67633.00,0.46,0.01,0.07,0.53,Struggle
Mount Holyoke College,2193,MA,USN National College Ranking,32,0.86,0.51,0.69,22200,0.33,1.88,B+,4.00,2.40,242000.00,0.24,716000.00,0.35,13116.00,0.80,1.39,49998.00,0.77,6.245796,0.301991877,354646.00,0.11,0.28,1.00,1.10,Perish
Muhlenberg College,2248,PA,USN National College Ranking,72,0.68,0.62,0.55,33100,0.47,1.71,B-,3.33,2.00,312000.00,0.66,891000.00,0.74,10394.00,0.64,2.04,52595.00,0.83,6.87763548,0.324907194,127192.00,0.29,0.02,0.26,0.55,Struggle
New Jersey Institute of Technology,8572,NJ,USN National University Ranking,97,0.57,0.64,0.51,8100,0.08,1.16,B-,3.33,2.00,439000.00,0.94,1106000.00,0.92,8704.00,0.47,2.33,25044.00,0.30,5.404865724,0.674007448,13257.00,0.87,0.04,0.50,1.37,Survive
New Mexico State University-Main Campus,11133,NM,USN National University Ranking,263,0.06,0.66,0.48,18100,0.26,0.8,B,3.66,2.20,224000.00,0.14,561000.00,0.05,6339.00,0.11,0.31,14228.00,0.06,0.536908824,0.337042576,3846.00,0.99,0.02,0.26,1.24,Perish
New York University,43140,NY,USN National University Ranking,29,0.87,0.20,0.90,110000,0.87,2.64,A+,5.00,3.00,293000.00,0.58,896000.00,0.75,19491.00,0.93,2.27,51828.00,0.80,17.926326,0.8299225,97872.00,0.34,0.19,0.97,1.31,Survive
North Carolina A & T State University,10458,NC,USN National University Ranking,281,0.03,0.61,0.55,9900,0.11,0.69,A,4.66,2.80,216000.00,0.11,554000.00,0.04,5530.00,0.05,0.19,13217.00,0.03,0.371264064,0.474155893,6103.00,0.98,0.04,0.50,1.48,Survive
North Carolina State University at Raleigh,28368,NC,USN National University Ranking,84,0.63,0.47,0.74,880,0.01,1.37,A+,5.00,3.00,336000.00,0.76,847000.00,0.68,11171.00,0.70,2.15,18773.00,0.17,8.8365,1.880906769,45606.00,0.57,0.03,0.39,0.96,Survive
North Dakota State University-Main Campus,11269,ND,USN National University Ranking,281,0.03,0.93,0.03,14800,0.19,0.25,A,4.66,2.80,310000.00,0.65,780000.00,0.55,5761.00,0.06,1.26,11404.00,0.01,0.86586528,2.915371313,46.00,1.00,0.01,0.07,1.07,Survive
Northeastern University,20785,MA,USN National University Ranking,40,0.82,0.19,0.90,165000,0.94,2.66,A+,5.00,3.00,388000.00,0.88,1044000.00,0.89,11707.00,0.73,2.51,51522.00,0.80,20.020434,0.931529592,40787.00,0.62,0.16,0.93,1.55,Survive
Northwestern University,17748,IL,USN National University Ranking,9,0.96,0.08,0.98,165000,0.94,2.87,A+,5.00,3.00,434000.00,0.94,1106000.00,0.92,30281.00,0.96,2.82,54568.00,0.91,24.35715,1.001239364,472556.00,0.06,0.12,0.83,0.89,Thrive
Nova Southeastern University,13150,FL,USN National University Ranking,246,0.10,0.79,0.20,74000,0.78,1.08,B+,4.00,2.40,243000.00,0.24,685000.00,0.26,12670.00,0.78,1.28,30900.00,0.39,3.3196416,0.31852251,12254.00,0.89,0.07,0.67,1.55,Perish
Oberlin College,2785,OH,USN National College Ranking,33,0.86,0.36,0.81,60500,0.7,2.36,B,3.66,2.20,160000.00,0.02,557000.00,0.04,15344.00,0.87,0.93,55052.00,0.94,4.82386536,0.191082011,340089.00,0.12,0.13,0.86,0.98,Perish
Occidental College,1907,CA,USN National College Ranking,39,0.83,0.37,0.80,49500,0.63,2.26,B+,4.00,2.40,258000.00,0.35,751000.00,0.47,11749.00,0.74,1.55,54686.00,0.92,8.7108912,0.354533626,227705.00,0.17,0.07,0.67,0.84,Struggle
Ohio State University-Main Campus,53129,OH,USN National University Ranking,54,0.76,0.52,0.68,1000000,1,2.44,A+,5.00,3.00,279000.00,0.49,728000.00,0.38,11323.00,0.72,1.58,20734.00,0.22,11.575872,1.99412093,97683.00,0.35,0.12,0.83,1.17,Survive
Ohio University-Main Campus,20184,OH,USN National University Ranking,185,0.24,0.78,0.21,135000,0.9,1.34,A+,5.00,3.00,220000.00,0.13,614000.00,0.11,7319.00,0.26,0.49,16924.00,0.13,2.130732,0.751580952,28186.00,0.71,0.01,0.07,0.77,Thrive
Ohio Wesleyan University,1547,OH,USN National College Ranking,92,0.59,0.69,0.42,6600,0.07,1.07,B-,3.33,2.00,226000.00,0.15,667000.00,0.22,9368.00,0.55,0.92,45760.00,0.69,1.9717263,0.105074676,154895.00,0.24,0.08,0.71,0.95,Perish
Oklahoma City University,2339,OK,USN National University Ranking,240,0.11,0.76,0.24,12100,0.14,0.5,B+,4.00,2.40,210000.00,0.09,627000.00,0.12,10025.00,0.60,0.81,31026.00,0.39,0.9130848,0.093162412,49452.00,0.55,0.02,0.26,0.81,Struggle
Oklahoma State University-Main Campus,19387,OK,USN National University Ranking,192,0.22,0.74,0.30,49500,0.63,1.15,A+,5.00,3.00,299000.00,0.62,751000.00,0.47,6089.00,0.07,1.16,16779.00,0.12,4.005324,1.206059621,21047.00,0.77,0.03,0.39,1.16,Survive
Old Dominion University,16605,VA,USN National University Ranking,263,0.06,0.87,0.07,60500,0.7,0.83,A-,4.33,2.60,272000.00,0.44,698000.00,0.29,7080.00,0.23,0.96,20010.00,0.20,2.06759232,0.382887467,14340.00,0.86,0.01,0.07,0.92,Struggle
Oregon State University,22133,OR,USN National University Ranking,139,0.39,0.81,0.18,90500,0.82,1.4,A,4.66,2.80,286000.00,0.54,769000.00,0.51,7967.00,0.38,1.42,20654.00,0.21,5.538272064,0.967552771,30544.00,0.68,0.02,0.26,0.94,Thrive
Pace University,10287,NY,USN National University Ranking,202,0.20,0.76,0.25,90500,0.82,1.27,B+,4.00,2.40,321000.00,0.71,908000.00,0.77,8554.00,0.44,1.92,45280.00,0.66,5.8675344,0.327776906,17678.00,0.82,0.08,0.71,1.53,Perish
Pacific University,3725,OR,USN National University Ranking,185,0.24,0.85,0.09,22200,0.33,0.65,B-,3.33,2.00,213000.00,0.10,667000.00,0.22,7418.00,0.28,0.59,44298.00,0.65,0.774868356,0.044356767,18447.00,0.81,0.02,0.26,1.07,Perish
Pennsylvania State University-Main Campus,45140,PA,USN National University Ranking,57,0.75,0.57,0.65,368000,1,2.4,A+,5.00,3.00,249000.00,0.27,737000.00,0.41,13668.00,0.82,1.51,26656.00,0.31,10.846692,1.283480298,64060.00,0.49,0.10,0.78,1.27,Survive
Pepperdine University,5645,CA,USN National University Ranking,50,0.78,0.36,0.81,135000,0.9,2.49,B+,4.00,2.40,343000.00,0.78,981000.00,0.86,9781.00,0.59,2.22,53932.00,0.88,13.2893376,0.558680691,160167.00,0.24,0.12,0.83,1.06,Survive
Pitzer College,1050,CA,USN National College Ranking,35,0.85,0.13,0.94,18100,0.26,2.05,A,4.66,2.80,233000.00,0.18,707000.00,0.32,10851.00,0.68,1.19,54056.00,0.89,6.792183,0.284251224,134728.00,0.28,0.08,0.71,0.98,Perish
Pomona College,1559,CA,USN National College Ranking,5,0.98,0.08,0.98,60500,0.7,2.66,A+,5.00,3.00,371000.00,0.85,937000.00,0.82,21239.00,0.95,2.61,52780.00,0.84,21.059154,0.923039842,1458439.00,0.01,0.12,0.83,0.84,Thrive
Presbyterian College,1240,SC,USN National College Ranking,140,0.38,0.69,0.42,18100,0.26,1.06,B+,4.00,2.40,262000.00,0.37,695000.00,0.28,7221.00,0.24,0.88,38660.00,0.51,2.383056,0.206218069,74077.00,0.42,0.02,0.26,0.68,Struggle
Princeton University,8267,NJ,USN National University Ranking,1,1.00,0.05,1.00,165000,0.94,2.93,A+,5.00,3.00,537000.00,0.97,1264000.00,0.96,24678.00,0.96,2.89,50340.00,0.78,25.42947,1.19978627,3077087.00,0.00,0.14,0.89,0.89,Thrive
Purdue University-Main Campus,38395,IN,USN National University Ranking,57,0.75,0.58,0.62,201000,0.97,2.34,A+,5.00,3.00,369000.00,0.84,906000.00,0.77,12121.00,0.75,2.35,19393.00,0.18,16.454784,3.330253795,60866.00,0.50,0.09,0.74,1.24,Survive
Quinnipiac University,8624,CT,USN National University Ranking,153,0.33,0.72,0.33,40500,0.55,1.21,B+,4.00,2.40,315000.00,0.68,931000.00,0.81,11996.00,0.74,2.23,47960.00,0.73,6.3043968,0.32475129,61058.00,0.50,0.02,0.26,0.76,Struggle
Randolph College,608,VA,USN National College Ranking,132,0.43,0.87,0.07,8100,0.08,0.58,C+,3.00,1.80,181000.00,0.05,568000.00,0.05,10591.00,0.66,0.76,39585.00,0.53,0.7500816,0.062428764,260012.00,0.15,0.01,0.07,0.22,Struggle
Randolph-Macon College,1464,VA,USN National College Ranking,111,0.51,0.67,0.45,9900,0.11,1.07,C+,3.00,1.80,253000.00,0.31,732000.00,0.4,6616.00,0.15,0.87,41300.00,0.57,1.8044694,0.130023735,113539.00,0.32,0.03,0.39,0.71,Struggle
Reed College,1453,OR,USN National College Ranking,68,0.70,0.35,0.82,33100,0.47,1.99,A,4.66,2.80,166000.00,0.02,577000.00,0.07,12364.00,0.76,0.85,56340.00,0.98,4.769148384,0.180056193,400561.00,0.08,0.10,0.78,0.86,Struggle
Regent University,3628,VA,USN National University Ranking,281,0.03,0.82,0.15,40500,0.55,0.73,A-,4.33,2.60,235000.00,0.19,640000.00,0.14,5780.00,0.06,0.39,18380.00,0.16,0.788368296,0.207083871,19846.00,0.80,0.00,0.00,0.80,Struggle
Regis University,5086,CO,USN National University Ranking,202,0.20,0.60,0.58,33100,0.47,1.25,A,4.66,2.80,342000.00,0.78,891000.00,0.74,6578.00,0.15,1.66,36810.00,0.47,5.78777592,0.45512117,12808.00,0.88,0.01,0.07,0.95,Survive
Rensselaer Polytechnic Institute,7798,NY,USN National University Ranking,50,0.78,0.43,0.75,40500,0.55,2.08,A-,4.33,2.60,473000.00,0.96,1272000.00,0.96,9045.00,0.50,2.42,53880.00,0.87,13.10068519,0.555160827,91709.00,0.36,0.16,0.93,1.29,Survive
Rhodes College,2014,TN,USN National College Ranking,53,0.77,0.45,0.75,33100,0.47,1.99,A-,4.33,2.60,290000.00,0.56,812000.00,0.62,9407.00,0.55,1.72,47890.00,0.73,9.271851516,0.487786801,178391.00,0.20,0.04,0.50,0.70,Thrive
Rice University,6765,TX,USN National University Ranking,17,0.93,0.11,0.96,135000,0.9,2.78,A+,5.00,3.00,425000.00,0.92,1062000.00,0.9,33564.00,0.97,2.8,47350.00,0.71,23.477748,1.209382785,920748.00,0.03,0.14,0.89,0.91,Thrive
Ripon College,788,WI,USN National College Ranking,105,0.52,0.69,0.42,9900,0.11,1.05,B-,3.33,2.00,261000.00,0.36,704000.00,0.32,6862.00,0.19,0.87,43808.00,0.63,1.98538263,0.126128113,117755.00,0.31,0.03,0.39,0.70,Struggle
Roanoke College,1956,VA,USN National College Ranking,130,0.44,0.72,0.33,22200,0.33,1.1,A-,4.33,2.60,220000.00,0.13,655000.00,0.18,7323.00,0.26,0.57,44155.00,0.65,1.765356588,0.111576071,78007.00,0.40,0.02,0.26,0.66,Struggle
Robert Morris University,3683,PA,USN National University Ranking,202,0.20,0.84,0.10,33100,0.47,0.77,B-,3.33,2.00,253000.00,0.31,718000.00,0.36,7716.00,0.33,1.01,30300.00,0.38,1.549700748,0.151441488,9921.00,0.92,0.04,0.50,1.42,Perish
Rochester Institute of Technology,14867,NY,USN National University Ranking,104,0.55,0.66,0.47,33100,0.47,1.49,B+,4.00,2.40,337000.00,0.77,944000.00,0.83,10384.00,0.64,2.23,42345.00,0.61,7.9977024,0.48879736,63104.00,0.49,0.06,0.64,1.13,Survive
Rowan University,15661,NJ,USN National University Ranking,166,0.28,0.73,0.32,74000,0.78,1.38,B+,4.00,2.40,280000.00,0.50,767000.00,0.5,7421.00,0.28,1.28,18018.00,0.15,4.2616128,1.06646967,13230.00,0.88,0.01,0.07,0.94,Survive
Rutgers University-Camden,5376,NJ,USN National University Ranking,166,0.28,0.71,0.36,2400,0.02,0.66,B-,3.33,2.00,387000.00,0.87,951000.00,0.84,9628.00,0.57,2.28,22724.00,0.25,2.994850152,0.449070348,10501.00,0.91,0.03,0.39,1.30,Survive
Rutgers University-New Brunswick,42753,NJ,USN National University Ranking,62,0.73,0.60,0.58,8100,0.08,1.39,A+,5.00,3.00,353000.00,0.80,917000.00,0.78,11234.00,0.71,2.3,23128.00,0.26,9.589554,1.350451204,23742.00,0.75,0.09,0.74,1.49,Survive
Rutgers University-Newark,9591,NJ,USN National University Ranking,132,0.43,0.63,0.53,5400,0.06,1.02,A-,4.33,2.60,387000.00,0.87,951000.00,0.84,9194.00,0.52,2.23,22563.00,0.24,5.911559346,0.923825496,16920.00,0.83,0.04,0.50,1.33,Survive
Sacred Heart University,6325,CT,USN National University Ranking,218,0.16,0.60,0.57,74000,0.78,1.52,B+,4.00,2.40,252000.00,0.30,798000.00,0.58,6418.00,0.13,1.01,41420.00,0.58,3.846888,0.243135381,26467.00,0.73,0.01,0.07,0.80,Struggle
Saint Anselm College,2007,NH,USN National College Ranking,114,0.50,0.77,0.24,14800,0.19,0.93,B,3.66,2.20,311000.00,0.66,879000.00,0.72,7728.00,0.34,1.72,41200.00,0.57,3.49651512,0.261089839,78700.00,0.40,0.01,0.07,0.47,Struggle
Saint John Fisher College,3161,NY,USN National University Ranking,166,0.28,0.64,0.50,390,0,0.79,A-,4.33,2.60,254000.00,0.32,720000.00,0.37,8290.00,0.42,1.1,34310.00,0.44,2.317083456,0.227633702,29668.00,0.69,0.00,0.00,0.69,Struggle
Saint Johns University,1697,MN,USN National College Ranking,92,0.59,0.80,0.19,8100,0.08,0.86,B+,4.00,2.40,350000.00,0.80,940000.00,0.82,7236.00,0.24,1.87,44990.00,0.66,3.870348,0.214911877,115949.00,0.31,0.04,0.50,0.81,Struggle
Saint Louis University,10520,MO,USN National University Ranking,97,0.57,0.58,0.63,40500,0.55,1.75,A,4.66,2.80,313000.00,0.67,863000.00,0.7,14140.00,0.84,2.21,43884.00,0.64,10.87257593,0.630184659,116549.00,0.31,0.05,0.59,0.90,Thrive
Saint Mary's College,3196,IN,USN National College Ranking,102,0.55,0.82,0.15,22200,0.33,1.03,B,3.66,2.20,268000.00,0.41,718000.00,0.36,3823.00,0.00,0.77,42220.00,0.60,1.773515952,0.111331824,60822.00,0.51,0.02,0.26,0.76,Struggle
Saint Michael's College,1725,VT,USN National College Ranking,124,0.46,0.83,0.13,8100,0.08,0.67,B,3.66,2.20,251000.00,0.29,746000.00,0.45,7238.00,0.25,0.99,45375.00,0.67,1.535752836,0.083646669,52135.00,0.54,0.02,0.26,0.79,Struggle
Saint Norbert College,2113,WI,USN National College Ranking,145,0.36,0.78,0.21,1000,0.01,0.59,A,4.66,2.80,245000.00,0.25,697000.00,0.29,6280.00,0.10,0.63,38129.00,0.50,1.02444042,0.074689444,69256.00,0.44,0.03,0.39,0.83,Struggle
Saint Vincent College,1717,PA,USN National College Ranking,132,0.43,0.68,0.43,9900,0.11,0.96,B-,3.33,2.00,269000.00,0.41,732000.00,0.4,5502.00,0.04,0.86,35462.00,0.45,1.76727096,0.183345882,63960.00,0.49,0.00,0.00,0.49,Struggle
Salem College,561,NC,USN National College Ranking,132,0.43,0.39,0.78,6600,0.07,1.28,C+,3.00,1.80,206000.00,0.08,560000.00,0.05,10955.00,0.69,0.82,29166.00,0.37,1.892124,0.270574003,108152.00,0.33,0.00,0.00,0.33,Struggle
Sam Houston State University,15745,TX,USN National University Ranking,281,0.03,0.79,0.20,74000,0.78,1.01,A-,4.33,2.60,291000.00,0.57,725000.00,0.37,4644.00,0.01,0.95,13276.00,0.03,2.4903129,2.882306597,7992.00,0.94,0.00,0.00,0.94,Thrive
Samford University,5292,AL,USN National University Ranking,147,0.36,0.82,0.15,40500,0.55,1.05,A-,4.33,2.60,244000.00,0.24,730000.00,0.39,9025.00,0.50,1.13,31650.00,0.40,3.087504768,0.387633995,65254.00,0.48,0.01,0.07,0.54,Struggle
San Diego State University,30451,CA,USN National University Ranking,147,0.36,0.35,0.82,74000,0.78,1.96,A+,5.00,3.00,326000.00,0.73,823000.00,0.64,4228.00,0.01,1.37,13414.00,0.03,8.070876,8.791803922,10044.00,0.92,0.04,0.50,1.41,Survive
Santa Clara University,7569,CA,USN National University Ranking,54,0.76,0.50,0.70,60500,0.7,2.15,A,4.66,2.80,419000.00,0.92,1126000.00,0.93,11055.00,0.70,2.55,51711.00,0.80,15.34822819,0.712346987,129376.00,0.29,0.08,0.71,1.00,Survive
Sarah Lawrence College,1655,NY,USN National College Ranking,68,0.70,0.56,0.66,27100,0.41,1.77,C,2.66,1.60,167000.00,0.03,586000.00,0.08,10539.00,0.65,0.76,55900.00,0.97,2.146537008,0.081791534,68731.00,0.45,0.12,0.83,1.28,Perish
Scripps College,1063,CA,USN National College Ranking,33,0.86,0.24,0.88,22200,0.33,2.07,A,4.66,2.80,267000.00,0.40,794000.00,0.58,10636.00,0.66,1.64,55024.00,0.93,9.76967136,0.39287696,340588.00,0.12,0.05,0.59,0.70,Struggle
Seattle Pacific University,3125,WA,USN National University Ranking,192,0.22,0.90,0.04,22200,0.33,0.59,B+,4.00,2.40,235000.00,0.19,714000.00,0.35,7749.00,0.34,0.88,42939.00,0.62,1.2812112,0.078955519,35227.00,0.65,0.01,0.07,0.72,Struggle
Seattle University,5904,WA,USN National University Ranking,139,0.39,0.76,0.27,49500,0.63,1.29,A,4.66,2.80,275000.00,0.46,826000.00,0.65,11226.00,0.71,1.81,44610.00,0.65,6.565254048,0.369540361,40851.00,0.61,0.02,0.26,0.87,Struggle
Seton Hall University,7589,NJ,USN National University Ranking,139,0.39,0.70,0.39,33100,0.47,1.25,A-,4.33,2.60,320000.00,0.70,877000.00,0.72,7771.00,0.35,1.77,42170.00,0.59,5.742923166,0.358082253,33960.00,0.66,0.04,0.50,1.16,Perish
Sewanee - The University of the South,1785,TN,USN National College Ranking,43,0.81,0.67,0.45,18100,0.26,1.52,A-,4.33,2.60,226000.00,0.15,669000.00,0.22,10686.00,0.67,1.04,45120.00,0.66,4.22454285,0.249943371,229020.00,0.17,0.03,0.50,0.66,Struggle
Shenandoah University,2909,VA,USN National University Ranking,263,0.06,0.70,0.39,33100,0.47,0.92,B,3.66,2.20,218000.00,0.12,664000.00,0.2,8682.00,0.47,0.79,32530.00,0.42,1.59952248,0.135875168,22751.00,0.76,0.01,0.07,0.83,Struggle
Simmons University,3119,MA,USN National University Ranking,125,0.45,0.70,0.39,18100,0.26,1.1,C+,3.00,1.80,304000.00,0.63,848000.00,0.69,13294.00,0.80,2.12,40850.00,0.56,4.2053796,0.277143772,62475.00,0.50,0.04,0.50,0.99,Perish
Simpson College,1260,IA,USN National College Ranking,136,0.40,0.84,0.09,12100,0.14,0.64,B,3.66,2.20,268000.00,0.41,731000.00,0.4,6562.00,0.14,0.94,39144.00,0.52,1.35623862,0.115208853,69006.00,0.45,0.00,0.00,0.45,Struggle
Skidmore College,2585,NY,USN National College Ranking,39,0.83,0.27,0.87,33100,0.47,2.17,A,4.66,2.80,258000.00,0.35,742000.00,0.43,11956.00,0.74,1.52,54420.00,0.90,9.19805712,0.379786825,146747.00,0.25,0.12,0.83,1.08,Perish
Smith College,2868,MA,USN National College Ranking,11,0.95,0.31,0.84,49500,0.63,2.42,A,4.66,2.80,241000.00,0.22,691000.00,0.27,16532.00,0.88,1.37,52404.00,0.82,9.312290496,0.420097013,653798.00,0.04,0.16,0.93,0.98,Perish
South Dakota State University,8727,SD,USN National University Ranking,272,0.04,0.92,0.03,22200,0.33,0.4,A-,4.33,2.60,241000.00,0.22,673000.00,0.24,6211.00,0.09,0.54,10446.00,0.00,0.567470748,10.50871756,13421.00,0.87,0.02,0.26,1.13,Survive
Southern Illinois University-Carbondale,10386,IL,USN National University Ranking,254,0.08,0.72,0.35,4400,0.05,0.48,B,3.66,2.20,253000.00,0.31,670000.00,0.23,10017.00,0.60,1.14,21932.00,0.23,1.195188372,0.194150158,14357.00,0.85,0.01,0.07,0.92,Struggle
Southern Methodist University,8895,TX,USN National University Ranking,64,0.72,0.51,0.69,27100,0.41,1.82,A+,5.00,3.00,331000.00,0.75,922000.00,0.79,14250.00,0.84,2.39,54492.00,0.90,13.214691,0.544419355,182038.00,0.20,0.05,0.59,0.79,Thrive
Southwestern University,1416,TX,USN National College Ranking,92,0.59,0.45,0.75,33100,0.47,1.81,B-,3.33,2.00,297000.00,0.61,823000.00,0.64,6925.00,0.20,1.45,42000.00,0.59,5.3480466,0.38164894,198782.00,0.18,0.02,0.26,0.44,Struggle
